  5.472000e-12  5.279530e-12  4.135990e-12  4.201461e-12  4.037977e-12  3.831815e-12  3.594905e-12  3.326480e-12  3.019488e-12  2.738197e-12  2.481663e-12  2.230838e-12  1.990186e-12  1.813407e-12  1.715604e-12  1.589618e-12  1.420859e-12  1.242480e-12  1.200074e-12  1.393976e-12  1.680056e-12  1.539445e-12  1.206244e-12  1.309152e-12  1.524427e-12  1.776264e-12  2.260203e-12  2.726764e-12  3.045735e-12  3.498975e-12  3.847133e-12  3.951244e-12  4.027479e-12  4.136083e-12  4.525070e-12  4.662016e-12
  1.250467e-11  1.172758e-11  1.190778e-11  1.303933e-11  1.215295e-11  1.000933e-11  8.500643e-12  6.945396e-12  5.522511e-12  5.132229e-12  5.347802e-12  5.144047e-12  4.051195e-12  3.062525e-12  2.587511e-12  2.026397e-12  1.687212e-12  1.464894e-12  1.456895e-12  1.432376e-12  2.412557e-12  4.118001e-12  4.771072e-12  5.175346e-12  6.480427e-12  7.768577e-12  9.733616e-12  1.267177e-11  1.332446e-11  1.361237e-11  1.328517e-11  1.413481e-11  1.472457e-11  1.834715e-11  1.647522e-11  1.327805e-11
  2.881957e-11  3.274547e-11  3.179267e-11  3.134061e-11  2.618567e-11  1.942383e-11  1.452153e-11  1.093552e-11  8.668347e-12  7.850472e-12  8.571979e-12  8.418864e-12  8.299650e-12  5.413745e-12  3.056978e-12  2.349315e-12  1.859025e-12  1.316818e-12  1.617712e-12  1.928531e-12  2.910622e-12  5.217675e-12  6.881510e-12  9.617730e-12  1.529683e-11  2.037424e-11  2.746659e-11  3.063169e-11  2.771430e-11  3.301255e-11  3.510945e-11  3.575197e-11  3.326512e-11  3.081949e-11  2.977870e-11  2.750658e-11
  9.072657e-11  9.922764e-11  8.376136e-11  6.127523e-11  3.553731e-11  2.920218e-11  2.117142e-11  1.650993e-11  1.417067e-11  1.230407e-11  1.096411e-11  9.637893e-12  1.003609e-11  9.292247e-12  4.248644e-12  2.393247e-12  2.176211e-12  1.847012e-12  2.201725e-12  3.573738e-12  3.912938e-12  6.960591e-12  1.058411e-11  1.676558e-11  2.772435e-11  4.094528e-11  4.724274e-11  5.916444e-11  6.137861e-11  6.993248e-11  7.542766e-11  7.493082e-11  7.018812e-11  8.126191e-11  7.948397e-11  8.825514e-11
  2.903438e-10  2.139743e-10  1.490193e-10  9.976581e-11  5.672235e-11  3.898095e-11  2.920056e-11  2.284276e-11  1.885346e-11  1.610733e-11  1.361531e-11  1.138267e-11  9.560062e-12  9.714210e-12  6.342856e-12  2.950463e-12  2.843410e-12  2.895081e-12  3.432177e-12  5.063307e-12  8.238834e-12  1.142743e-11  1.675931e-11  2.534558e-11  4.185803e-11  6.149880e-11  1.131865e-10  1.294943e-10  1.175880e-10  1.395662e-10  1.318002e-10  1.259128e-10  1.080450e-10  1.164903e-10  2.153519e-10  2.486667e-10
  2.389941e-09  4.449971e-10  2.191430e-10  1.326250e-10  7.851636e-11  4.601723e-11  3.524355e-11  2.678690e-11  2.159345e-11  1.798622e-11  1.466556e-11  1.139573e-11  8.922943e-12  7.891492e-12  7.756873e-12  4.403409e-12  3.972593e-12  5.285303e-12  6.166233e-12  8.415783e-12  1.132716e-11  1.561155e-11  2.317718e-11  3.564259e-11  5.894534e-11  1.140722e-10  1.732715e-10  1.871482e-10  2.027929e-10  1.690287e-10  1.906383e-10  2.164923e-10  5.264292e-10  2.055763e-10  1.524253e-09  1.817484e-09
  5.019145e-09  1.471438e-09  2.962231e-10  1.780687e-10  8.607645e-11  5.653726e-11  4.007333e-11  2.909593e-11  2.205133e-11  1.717011e-11  1.313319e-11  1.002215e-11  7.623241e-12  5.933052e-12  8.429683e-12  6.987916e-12  7.847002e-12  1.082197e-11  1.143974e-11  1.923420e-11  2.401978e-11  2.723525e-11  3.573568e-11  5.447045e-11  8.203471e-11  2.683021e-10  2.094382e-10  2.489148e-10  2.495932e-10  2.903223e-10  3.081252e-10  9.423364e-10  4.648256e-10  1.960225e-10  2.244301e-09  8.523348e-10
  3.008615e-09  7.903326e-10  2.359724e-10  1.912984e-10  8.584715e-11  5.605234e-11  3.795294e-11  2.655480e-11  1.941492e-11  1.421226e-11  1.055008e-11  7.984840e-12  5.966691e-12  4.053402e-12  9.932692e-12  9.675619e-12  1.631581e-11  2.520430e-11  1.906481e-11  3.706631e-11  3.934130e-11  4.404484e-11  5.676530e-11  8.419869e-11  1.201989e-10  4.334239e-10  4.325836e-10  3.322890e-10  2.679558e-10  2.857237e-10  3.981067e-10  8.563863e-10  3.399121e-10  1.501337e-10  1.673918e-10  1.612481e-10
  7.753373e-10  6.372437e-10  1.770429e-10  1.151060e-10  6.166442e-11  3.521555e-11  2.406052e-11  1.794152e-11  1.359579e-11  1.040786e-11  8.097265e-12  6.281879e-12  4.719595e-12  3.258580e-12  6.440706e-12  1.194173e-11  4.463164e-11  4.556352e-11  3.414030e-11  4.460108e-11  4.920147e-11  5.950798e-11  8.184345e-11  1.261311e-10  1.984560e-10  7.327277e-10  1.469293e-09  1.998032e-09  4.988633e-10  3.633354e-10  3.547206e-10  9.031254e-10  4.714288e-10  1.419119e-10  4.074790e-11  4.362756e-11
  2.591085e-10  3.573465e-10  1.004653e-10  5.848332e-11  2.874064e-11  1.768328e-11  1.328769e-11  1.104369e-11  9.379595e-12  8.047988e-12  6.667899e-12  5.547455e-12  4.440164e-12  3.426327e-12  3.825314e-12  1.416224e-11  4.214286e-11  3.158367e-11  4.256367e-11  5.219586e-11  6.170229e-11  8.218528e-11  1.219206e-10  1.984245e-10  4.051233e-10  1.509393e-09  1.433497e-09  1.052327e-09  1.710579e-09  4.375771e-09  9.629349e-10  1.378458e-09  6.475501e-10  1.161230e-10  5.122565e-11  4.131624e-11
